Index,MaxTheoreticalCapacity/mAhg,V_AI/Volt,V_DFT/Volt,SMILES
84,497.8270704597094,3.4967022,2.9630078594335334,CC1=CN=C(N)NS(=O)(=O)C(=N)SC(C=O)=C1
85,557.2817288012429,3.0106878,2.8040331984627214,BrC1=NN2C(=NC1=O)C(=O)SC(=N)N=C2C#N
86,216.86539483580145,2.9073532,3.0802638639086033,CC(=O)N1C=CC=CC2=C(N)N=C3C=NC1=C23
87,213.4241393127473,3.0048509,3.1081464233435203,CCC1=C(C=O)N=C2N=CC3=C2C1=C(O)C3=O
88,394.28255316156896,2.9406133,3.056944740586467,CC1=NC2=C(Br)C3=NC=NC3=NC2=C(O1)C=O
89,517.4737590515147,2.91653,4.432342937220551,CC1=NC=C2N=CC(=NC2=C(O)C1=O)C#N
90,528.3521726909942,2.9288378,2.959214763990659,ClC1=NC(=N)C(=N)C2=CC(=O)C(=O)C(=O)C=C12
91,453.244538202504,2.9475882,3.3160910155743566,BrC1=C(OC(=O)C2=NOC(=N)N=C12)C(=O)C#N
92,387.4636800984677,2.905603,2.837244836453143,CC1=C2OC(=O)C(Br)=NC2=NC(=O)N=C1C=O
93,392.6626417226044,3.0165308,3.2137743993812697,CC1=CC(=O)NC(=N)C2=C(NC(=O)N=NO2)N1
94,309.1361185419721,2.9061735,2.892201885049444,CC1=C2N=CC=CC(=O)N=C2C(=O)N=CC1=O
95,466.9307132008103,3.2940545,3.169358100309622,CC1=C(O)C2=C(C(=N)N=CO2)S(=O)(=O)N=N1
96,435.9525336461029,2.918867,2.971024560897222,BrC1=NC(=O)C=C2N1C=C1SN=NC1=NC2=O
97,651.7462813124414,3.0580916,3.1074751768084035,CC(=O)C1=CC(C(=O)C#N)=C(N=CC1=O)C#N
98,672.4636135606447,2.937959,3.420235983335741,CC1=NC(=N)C(=N)C2=NOC(=O)C2=NC(=O)S1
99,613.2709957816304,2.995538,4.3594820658463505,ClC1=C2SN=NC=CN2C(=O)S(=O)(=O)S1(=O)=O
100,452.284261899704,3.2394438,4.060083818717099,CC1=C(C#N)C(=N)N=C(C=C1CCN)[N+]([O-])=O
101,323.94410054481176,3.1375544,2.912033105614418,BrC1=NC2=C(C=CC2=O)C2=C1N=CC(=O)C2=N
102,562.3476031875887,3.214269,2.9739084544371304,CC1=NC(=O)C(=O)N=CSC2=CC(=N)C1=N2
103,634.1644304629507,3.0241306,2.9014722208596195,CC(=O)N1C(=NC2=C1N=NOC2=O)C(=O)C#N
104,588.2310256003407,2.9118583,3.430226417598369,CC1=NSC2=C(N=C(C2=O)S(N)(=O)=O)N=N1
105,316.3160510128747,2.9560955,3.187169636577189,CCN=COC1=NC(Br)=NC2=NC(=O)ON=C12
106,539.7610993207128,3.3547578,3.5294058916832705,CC(N)(C#C)C(=O)OC1=NOS(=O)(=O)N=N1
107,595.016790966378,3.1401167,3.0693221594635087,ClC1=NC(=CC(=O)S1)C1=NC(=O)SN=NC1=O
108,385.24039806076746,3.0022693,3.1536267259625044,BrC1=NN2C=COC(=O)C(=N)N=C2C(=O)C1=O
109,621.6980975742865,3.2649322,3.724875193388707,CCN=C1C2=C(N=NS2(=O)=O)C(O)=NS1(=O)=O
110,449.3852421733089,3.1431296,2.998347360697016,BrC1=NC=C2N=C(C=O)C=NN=C2S1(=O)=O
111,466.3494318236743,2.9255018,3.182389195332195,BrC1=NC(=NC=C1)C1=NC2=NC(=O)C(=N)C2=C1
112,527.3057361747508,3.1204395,2.971379564332822,CC(=O)C1=NOC2=NC(=O)N=C3N=NSC1=C23
113,601.4998191467944,3.3645678,3.021750740396795,CC1=NC(=O)C(O)=C2SN=NC2=NC(=O)C1=N
114,370.26436830178966,2.9220304,2.9985151543551374,CC1=C2C(=O)N=C(Br)N=C2SC(C=O)=NC1=O
