index,45M_index,dielectric,homo,lumo,oxidation,reduction,ip,ea,deo,der,oxidation_solv,reduction_solv,ip_solv,ea_solv,deo_solv,der_solv,redox_stable
27,164867,2.6181967825381145,-0.26426,-0.13675,8.28026629582917,2.389859327791254,8.302443586828863,2.3744576753930167,8.360349446028064,2.3279261813929417,6.207573032640785,3.8174260803491946,6.229750323640477,3.802024427950957,6.287656182839678,3.755492933950882,yes
28,165040,3.0641745990639904,-0.26821,-0.14931,8.584196953160944,2.892875499233781,8.631898537367345,2.8495005276257364,8.683464140363991,2.804166335228825,6.499238532380481,4.213523926406393,6.546940116586884,4.170148954798348,6.598505719583529,4.124814762401437,yes
29,165428,3.299105317223169,-0.20743,-0.09869,6.522308629417085,1.8555932580637444,6.572486451014142,1.8557021036696568,6.566091772014819,1.793905014267907,4.733225747354113,3.344858485903996,4.783403568951169,3.344967331509908,4.777008889951846,3.283170242108158,yes
30,228895,2.8024189975477163,-0.23302,-0.11887,7.757564173124321,2.267465715958416,7.779714252724082,2.262812566560883,7.821565385923599,2.2033284461594804,5.664674826548183,3.809256918744692,5.686824906147944,3.80460376934716,5.728676039347461,3.745119648945757,yes
31,402884,3.68758476804756,-0.23722,-0.09978,7.306085114362421,3.21995380607634,7.366957016154132,3.0812845116799656,7.396699076356381,3.055814641282399,5.47825401503784,4.964206722985325,5.539125916829551,4.825537428588951,5.568867977031799,4.800067558191384,no
32,413018,2.837431458530674,-0.26437,-0.17337,7.489540019335814,3.304437856001929,7.610140944134496,3.2951587686037014,7.657679259935123,3.2679473686043448,5.4533566724802265,4.689025998216718,5.573957597278909,4.679746910818491,5.621495913079536,4.652535510819134,no
33,415597,4.058764649191926,-0.2481,-0.17228,8.092358245236758,3.3606620506866123,8.113501503042155,3.360961376076576,8.146862679438359,3.3218041714857245,5.958257396624615,4.708753718984881,5.979400654430011,4.709053044374844,6.012761830826215,4.669895839783993,yes
34,417452,2.405334119822684,-0.28115,-0.13059,6.746631791828066,4.356773171535011,7.053521961032825,4.01252175012868,7.110801958027418,3.920628852334856,5.209509602690992,5.66987995920104,5.516399771895751,5.325628537794709,5.573679768890344,5.233735640000885,no
35,435929,2.673534747599887,-0.25054,-0.16635,8.294612880614435,3.1019585633120124,8.344845125014448,3.070529396314024,8.370070092815727,3.022201949912296,6.019223068917572,4.381802571000005,6.069455313317585,4.350373404002016,6.094680281118863,4.3020459576002885,yes
36,437679,2.83098089083355,-0.24534,-0.15557,5.064717199053802,6.011545209129193,5.173916547259616,5.927516405930982,5.170270219662634,5.944360262528671,3.099690302633093,7.560847765144783,3.208889650838907,7.476818961946572,3.205243323241926,7.493662818544261,no
37,437847,3.1642709542684373,-0.26793,-0.17411,8.745089797939677,3.2523906112329954,8.589930395141627,3.2841463150301595,8.682231463943701,3.248608226627077,6.697851003501564,4.639723023127607,6.542691600703514,4.671478726924772,6.634992669505587,4.6359406385216895,yes
38,440316,2.9755845338726923,-0.23187,-0.13357,4.612749178649992,4.409485190810484,4.566054416250329,4.3362048906129775,4.494814971050763,4.338164111414218,2.674821843375634,5.752634724642898,2.628127080975971,5.679354424445392,2.556887635776405,5.681313645246632,no
39,441759,3.013742457427289,-0.21545,-0.10852,6.842655380145692,1.7618592369393702,6.863989117747513,1.7606075125363434,6.867417754145044,1.699735610738445,4.942352159201255,3.207890720353709,4.963685896803076,3.206638995950682,4.967114533200607,3.1457670941527835,yes
40,441928,3.181750641274123,-0.19488,-0.1018,6.81072198590478,1.830755508485376,6.819184731305068,1.8263472616841312,6.811456693706019,1.7693938014887138,5.178231458955971,3.4047668320338227,5.18669420435626,3.400358585232578,5.17896616675721,3.343405125037161,yes
41,447998,3.1924642623801387,-0.20901,-0.10695,6.591301501432383,1.9093289702149656,6.67279964443389,1.8574640418159816,6.675765687035682,1.7957213752140946,5.062206403179387,3.5517018612990667,5.143704546180894,3.4998369329000827,5.146670588782686,3.4380942662981955,yes
42,450172,3.2658001683407143,-0.26167,-0.13579,8.486349112587964,2.48440979976111,8.53331598898694,2.454531682562299,8.563956025390015,2.395074773560828,6.3313518135755045,3.972006152442616,6.37831868997448,3.9421280352438046,6.408958726377555,3.8826711262423337,yes
43,450327,3.393066370321218,-0.26905,-0.18915,8.65600756564485,3.793766312280132,8.68980412445233,3.775371405877077,8.729587191244693,3.7494661530806095,6.608073792050079,5.045744050415355,6.641870350857558,5.0273491440123,6.6816534176499225,5.001443891215833,yes
44,451979,3.1217648673021503,-0.24559,-0.14641,6.866135825091899,4.181726044927425,6.93979708489463,4.215685872122117,6.963743116896044,4.1802022065250855,4.807579265165157,5.7282388882046105,4.881240524967888,5.762198715399303,4.905186556969302,5.72671504980227,yes
45,452165,3.196380013735705,-0.24783,-0.13986,6.942331010461925,3.8473376675749016,6.947909347457122,3.819609250973757,6.944317442660003,3.803418467974418,5.106085057801924,5.074810723665925,5.11166339479712,5.04708230706478,5.108071490000002,5.030891524065441,yes
46,452819,2.9143225424304937,-0.25226,-0.10709,6.036344862754463,1.7169149839013402,5.981622737353413,1.6844245723029376,5.943472354556926,1.6065999683014367,3.9751134222079783,3.226270388366862,3.920391296806928,3.19377997676846,3.8822409140104406,3.1159553727669587,yes
47,454842,2.98035701001893,-0.22717,-0.10869,7.282648479770938,3.121460238979557,7.290376517369989,3.12624944537984,7.292090835568754,3.09577267738254,5.369575493026649,4.614562274225589,5.377303530625699,4.619351480625872,5.379017848824464,4.588874712628572,yes
48,455087,2.400581567803226,-0.24254,-0.10342,7.514329332614695,1.6821888836811174,7.571228370016437,1.6694267370793092,7.579010830415349,1.608255509879073,5.399770895147483,3.161865902615219,5.456669932549225,3.149103756013411,5.464452392948138,3.0879325288131745,yes
49,455228,2.560556476845938,-0.27901,-0.16761,8.822877122327634,3.242360761304074,8.884184406524433,3.236891269902415,8.922797383129033,3.203257979500711,6.638080619170905,4.491870969684989,6.699387903367705,4.486401478283329,6.738000879972304,4.452768187881626,yes
50,456285,3.303859054469623,-0.24266,-0.16764,7.953591261932789,3.1649377975387067,7.975387593311789,3.158978500975408,8.011497121135083,3.116229391556502,6.065917123815943,4.65538155112907,6.087713455194942,4.649422254565771,6.123822983018236,4.606673145146865,yes
51,457858,4.751186476089415,-0.21455,-0.14935,6.035991114570824,3.3618607128639493,6.042549061963548,3.3684186602566726,6.013677766565289,3.3586769790503324,4.299976993232619,4.692682666153902,4.306534940625343,4.699240613546626,4.277663645227084,4.689498932340285,yes
52,481435,3.0058567959824187,-0.22619,-0.12231,7.405335702607582,2.1461995812692107,7.434751226016841,2.098225883063496,7.457880916001755,2.0346600526754925,5.7026501039968,3.6839280404028174,5.73206562740606,3.635954342197103,5.755195317390973,3.572388511809099,yes
53,521619,2.1746213848931224,-0.31054,-0.10784,9.09860207510724,3.72355409743184,9.190386127307528,3.5184617756330208,9.256237715308322,3.435494217029037,6.846014083248523,5.043076516876346,6.937798135448809,4.837984195077527,7.003649723449604,4.755016636473543,no
54,582213,2.3212845379350537,-0.27165,-0.13515,8.796038518507027,1.9963676263635064,8.726894351099078,2.0301369737679607,8.802460408903189,2.002571825566404,6.98056955820248,3.6094052676794366,6.911425390794531,3.643174615083891,6.986991448598641,3.615609466882334,yes
55,601129,2.26911573161118,-0.2598,-0.08597,8.325166194290231,1.4327302789747254,8.4134399758901,1.3814367899773925,8.49238024728569,1.2951766519786276,6.606354031579371,3.092413702168586,6.694627813179238,3.041120213171253,6.773568084574829,2.9548600751724887,yes
56,615285,2.43218823582308,-0.27815,-0.12026,5.977398167514852,4.222241098385057,6.318629123513341,3.917691109586764,6.393596530512775,3.798069795185608,4.41661321704306,5.477419713507841,4.757844173041549,5.172869724709548,4.832811580040983,5.053248410308393,no
57,773208,3.134139069848953,-0.22551,-0.13937,7.321393377233545,2.573987034632821,7.371380719034176,2.5443538200333915,7.4074902468327215,2.4638624988324365,5.401527091693444,4.295545371829204,5.451514433494074,4.265912157229774,5.487623961292621,4.185420836028819,yes
58,820773,3.044353743552787,-0.2633,-0.19092,8.493332510224631,3.715155081127697,8.559429000824807,3.7283253987284746,8.6182056248249,3.6945016285272514,6.244030213287427,5.123759651230601,6.310126703887603,5.136929968831378,6.368903327887698,5.1031061986301545,yes
59,842934,3.1423142462315257,-0.25013,-0.14747,6.899592241389409,2.778277681384058,6.885360679191311,2.7542500151859444,6.936735802391532,2.7188207723825872,4.893246466754685,4.1831483848107744,4.879014904556587,4.159120718612661,4.930390027756808,4.123691475809303,yes
60,879879,2.7877505992830867,-0.25857,-0.11756,5.649016706704123,1.940601943782979,5.771413583910646,1.901880121578654,5.778597393504882,1.8212255319842985,3.5950520705165614,3.485610268751683,3.717448947723084,3.446888446547358,3.724632757317321,3.3662338569530026,no
61,880030,4.436033575459912,-0.22925,-0.15341,7.450873164159783,2.885558625883888,7.481132240957632,2.858782608277245,7.510085170558779,2.814808985876899,5.440637792010898,4.456334786096885,5.470896868808747,4.429558768490242,5.499849798409894,4.385585146089896,yes
62,1134146,2.819577194640952,-0.24209,-0.09415,7.809566274190937,1.5142664907274983,7.851907212592311,1.4772589867250323,7.876887277791114,1.3969853567266213,5.871580352773235,3.0618148366206954,5.91392129117461,3.024807332618229,5.938901356373413,2.944533702619818,yes
63,1548688,2.574693103193133,-0.26544,-0.1641,5.286261370034526,5.234084190818778,5.59312432783626,5.236097834416788,5.603355814235176,5.245077596418865,3.5369561124826943,6.534994774578109,3.843819070284428,6.537008418176119,3.8540505566833447,6.545988180178195,no
64,1585896,2.5305167158993265,-0.23968,-0.07786,7.845198731730453,0.9147882192719776,7.893798292125307,0.8535897806687163,7.911268010924511,0.75073068866855,5.912399384804548,2.4455081101931238,5.960998945199402,2.384309671589862,5.978468663998606,2.281450579589696,yes
65,1903366,2.776005162609126,-0.2058,-0.09714,6.873129862387909,1.514446630193002,6.899252806390013,1.456595193790571,6.89702147158946,1.3825257629919636,4.9153150482164,3.1361916746054987,4.941437992218505,3.078340238203068,4.939206657417952,3.0042708074044606,yes
66,2013873,2.906466149445047,-0.2089,-0.11062,6.998523367811194,3.3454900624947617,7.06527293200044,3.311475812500206,7.060048343201257,3.2369709992965108,5.0976103393946985,4.2996730418793305,5.164359903583945,4.265658791884776,5.159135314784761,4.19115397868108,yes
67,2019907,2.781935086736761,-0.26558,-0.14074,8.220071413662058,2.6207783702906635,8.297759960660809,2.6127510072954627,8.309678553861653,2.5522600650904157,6.0794809182665945,3.852563072713639,6.157169465265345,3.844535709718439,6.16908805846619,3.784044767513391,yes
68,2034897,2.147505075375898,-0.27618,-0.10747,8.986196543697485,1.8347958027353448,9.02393875550119,1.816700221734628,9.117654817099693,1.75152891873521,6.7644104688592375,3.302604379086722,6.8021526806629415,3.284508798086005,6.895868742261444,3.219337495086588,yes
69,2110184,2.588165310237593,-0.23852,-0.11243,7.945846217190608,1.767306659896993,7.989901473790748,1.728312723696449,8.024840911392248,1.6514405186956371,5.665161584068347,3.4170848613768974,5.709216840668487,3.378090925176353,5.744156278269987,3.3012187201755414,yes
70,2185618,3.8476444875392977,-0.20697,-0.12226,4.376707562887709,2.029916262101024,4.377986498687574,2.0648284883025925,4.291154921287158,2.033290475701785,2.4874222377980373,3.557503821581145,2.4887011735979017,3.592416047782714,2.4018695961974865,3.5608780351819065,yes
71,2255513,3.2382683894540936,-0.22091,-0.11323,7.288424371532173,1.9306945451522013,7.313050688528776,1.894421748954068,7.332534050929082,1.820787700554361,5.397998616667143,3.5676003938594927,5.422624933663745,3.531327597661359,5.442108296064052,3.4576935492616525,yes
72,2375651,4.484974755984144,-0.19067,-0.10517,6.389255495864071,1.8498304277724968,6.385228208668051,1.7819651961705998,6.383486679066261,1.7023174283706084,4.581931996031601,3.552044452827697,4.577904708835582,3.4841792212258005,4.576163179233792,3.404531453425809,yes
73,2376206,3.480708916319573,-0.20589,-0.09354,6.739995829344411,1.486482317966524,6.773493062743365,1.427596848366704,6.764322820944863,1.3436768907651244,4.879607541640495,3.112465429083926,4.913104775039449,3.053579959484105,4.903934533240947,2.9696600018825263,yes
74,2530328,2.5256808087255043,-0.26969,-0.15267,8.691805223594578,3.021968693789597,8.72184660919607,3.0117916301905434,8.789521360995355,2.970321456590064,6.719542734282404,4.563533388883254,6.749584119883897,4.5533563252842,6.8172588716831815,4.51188615168372,yes
75,2557298,3.0291682016713284,-0.24901,-0.10895,7.273879851012925,1.9219642300578392,7.263675576017033,1.9074333424574037,7.302288552615447,1.8413912746570904,5.644074871554316,3.362597978528299,5.633870596558424,3.348067090927863,5.672483573156836,3.2820250231275496,yes
76,2559335,2.921362266217144,-0.21516,-0.12925,7.079059179641586,2.329571491481011,7.10322290284245,2.310877259681805,7.105508660442866,2.247610754680672,4.941889402129561,3.813512999397694,4.966053125330426,3.794818767598489,4.9683388829308415,3.731552262597355,yes
77,2561582,2.9861250477193173,-0.21579,-0.14009,7.389241656130003,2.339817780885846,7.38445244972972,2.3469743790863387,7.39294240652994,2.287463047285005,5.161421725454964,3.687009486553534,5.156632519054682,3.694166084754027,5.1651224758549015,3.634654752952693,yes
78,2579037,3.6879970358149694,-0.27346,-0.16669,8.84875886447565,3.1081371293780493,8.925957606275638,3.089606165978432,8.998856946877199,3.042748135176087,6.628508900381287,4.595064925171292,6.705707642181275,4.576533961771675,6.778606982782836,4.52967593096933,yes
79,2599468,2.7939985282775623,-0.23892,-0.13831,7.732981095036711,2.485054737153378,7.827867246838446,2.4441287915515244,7.858507283238427,2.3822500679530747,5.620144241212571,4.041401834812089,5.715030393014305,4.000475889210236,5.745670429414286,3.9385971656117857,yes
80,2607828,2.67075901495274,-0.20568,-0.10003,6.56247676474212,4.065958490631302,6.615566206141105,3.9396703832315114,6.617797540941659,3.9156699284302334,4.320571587566225,5.641229946899982,4.373661028965211,5.51494183950019,4.3758923637657645,5.490941384698913,no
81,2607867,2.9854633952119496,-0.22908,-0.11777,7.45134024784163,2.2680498086602765,7.489708321840661,2.219123711463153,7.512429840842072,2.149707430062079,5.617940362711958,3.8276103549703286,5.656308436710989,3.7786842577732056,5.679029955712401,3.7092679763721312,yes
82,2619203,2.422015591273658,-0.26984,-0.07848,6.11503152391742,3.10289798246677,6.37500923951069,2.918431901871559,6.440044485513545,2.814457142471116,4.46018411072566,4.433777079704932,4.720161826318931,4.249310999109721,4.785197072321785,4.145336239709278,no
83,3097440,2.6486859166100696,-0.19629,-0.06932,4.553379618234473,0.8929888946211363,4.583040044240021,0.8560630248060899,4.493160790041113,0.7478432870101771,2.5542475857391698,2.568508264155272,2.5839080117447177,2.5315823943402256,2.4940287575458098,2.4233626565443127,no
84,3290694,3.884213528420681,-0.23619,-0.16202,7.808108015265123,2.9300202575279357,7.836843253663726,2.9744292623271824,7.890095963465393,2.89497197432671,5.749202822880964,4.546564686381702,5.777938061279567,4.590973691180949,5.831190771081234,4.511516403180477,yes
85,3481558,2.3913740829282077,-0.22386,-0.09945,7.432810508957531,1.7746779832485806,7.439749415949293,1.756174231251988,7.44769514475398,1.714295886649445,5.815338770011504,3.5624462825896277,5.822277677003266,3.5439425305930348,5.830223405807954,3.502064185990492,yes
86,3499010,2.921427129243124,-0.23545,-0.06602,7.4363836378892225,0.9573269845412316,7.483187245888611,0.9006456383389402,7.510344223088105,0.8151202081414143,5.507906277610724,2.3811730135263085,5.554709885610112,2.324491667324017,5.581866862809607,2.238966237126492,yes
87,3650217,3.884067773592293,-0.21414,-0.14424,7.065880290447649,4.8627468411880015,7.085064327445617,4.816269769981602,7.113962834246902,4.812514596784896,5.218572631575064,6.386490273398907,5.237756668573033,6.340013202192507,5.266655175374317,6.3362580289958,yes
88,3844199,2.3859259621510702,-0.26866,-0.20185,7.978636090253096,4.039019939334382,8.105958230856466,4.14566141593428,8.122611607651542,4.13159312213577,6.43478479400217,5.18007176594078,6.562106934605539,5.286713242540678,6.578760311400616,5.272644948742167,yes
89,3909851,2.460466710522102,-0.24179,-0.14361,3.888520135041708,5.960224182201675,4.1798453834393605,5.81687452700165,4.235574330640963,5.760274815002245,1.587722059551922,7.687100334457681,1.8790473079495744,7.543750679257656,1.934776255151177,7.487150967258251,no
90,4108274,3.289079569168276,-0.19197,-0.10308,4.750256736747395,1.6512927607939794,4.703534762944707,1.618829560595508,4.635451840146453,1.5467737733949103,2.906622508027273,3.3484500641708608,2.8599005342245856,3.3159868639723897,2.791817611426332,3.243931076771792,yes
91,4774472,2.613224991057624,-0.22775,-0.10996,6.230351505100246,1.8255474370045557,6.311713591102095,1.8148261454037815,6.334244630300895,1.7418995934053825,3.9937788915583874,3.455725892925907,4.075140977560237,3.4450046013251336,4.097672016759037,3.3720780493267344,yes
