index,45M_index,dielectric,homo,lumo,oxidation,reduction,ip,ea,deo,der,oxidation_solv,reduction_solv,ip_solv,ea_solv,deo_solv,der_solv,redox_stable
1150,11702814,3.1223560921440066,-0.23696,-0.11251,6.168408317693245,2.5686326202498333,6.22397399649526,2.543489286645256,6.196572116693291,2.512441079246305,4.336913747579177,3.949347763895974,4.392479426381192,3.924204430291396,4.365077546579223,3.893156222892446,yes
1151,11703453,2.979682122315129,-0.21423,-0.09697,6.975455991910561,1.5342339711391475,6.9995108695117,1.5199479861349996,7.013606374713235,1.4302047889388416,5.109675874142178,2.983309593870266,5.133730751743317,2.969023608866118,5.147826256944853,2.8792804116699604,yes
1152,11704301,2.513508551046884,-0.26684,-0.15118,8.106143268368573,2.796146047184676,8.16279740316784,2.760771227187369,8.20609074056681,2.708389282186596,5.905882526599642,4.206086234437463,5.962536661398909,4.170711414440156,6.005829998797879,4.118329469439384,yes
1153,11704543,2.8884289603513023,-0.23301,-0.09485,7.583929563083388,1.6172891504463935,7.619086691875058,1.590894092451163,7.645182424480325,1.5147838066484276,5.841241845900432,3.24826100915987,5.876398974692101,3.22186595116464,5.902494707297368,3.1457556653619045,yes
1154,11705003,3.575446960400192,-0.2174,-0.14242,7.146514199380161,2.53125721812141,7.169861580583086,2.512644620518905,7.181834596583792,2.4758003849191206,5.048193348520294,4.123926310188885,5.0715407297232185,4.10531371258638,5.083513745723925,4.0684694769865954,yes
1155,11706906,2.9575938356193165,-0.29095,-0.13118,9.317922149511324,2.3831164517154035,9.348208437706012,2.3324760363226087,9.391855523307182,2.2920398959195185,7.332710380804844,3.738965818040597,7.362996668999531,3.6883254026478016,7.406643754600702,3.647889262244712,yes
1156,11708771,3.0031015807455765,-0.22553,-0.13484,7.402862458457834,3.703656849634031,7.458564194256412,3.722895309431862,7.475707376256439,3.736038415632709,5.462208813017151,5.279710660865714,5.5179105488157285,5.298949120663545,5.535053730815757,5.312092226864391,no
1157,11708911,3.0603055449121874,-0.25687,-0.15585,8.307508444713266,2.79607393697625,8.358693088110872,2.7718013681756606,8.400027204708602,2.7423314219789128,6.180405007615264,4.252729023062113,6.2315896510128725,4.228456454261524,6.272923767610601,4.198986508064776,yes
1158,11708975,3.8783475885208665,-0.25133,-0.14644,8.197708268795235,2.591345703713647,8.2364573023964,2.558474332510019,8.233409625597906,2.548678228510003,6.188245972517997,3.9942601795985904,6.226995006119159,3.9613888083949615,6.223947329320667,3.9515927043949466,yes
1159,11709019,2.487033469169329,-0.24308,-0.13674,7.481442178805108,2.7178259235951594,7.538613330206163,2.694913924791135,7.557851790003994,2.642940150792426,5.405359844600192,4.114079865099151,5.462530996001247,4.091167866295127,5.481769455799078,4.039194092296418,yes
1160,11718686,2.775364960941009,-0.24439,-0.08591,8.114457983759175,1.698880900657724,8.104961205161498,1.6888126826645826,8.115764130955878,1.6328660442573424,6.00804990481374,3.2283751901653144,5.998553126216063,3.218306972172173,6.0093560520104425,3.1623603337649326,yes
1161,11719749,3.3567897142395733,-0.23736,-0.12744,7.853217659188056,2.180038861974551,7.882714816794015,2.14689537677161,7.921191736389678,2.0850982873760477,5.880763955367053,3.5400583753508164,5.9102611129730125,3.5069148901478755,5.948738032568675,3.4451178007523127,yes
1162,11719979,3.82034974233484,-0.25586,-0.13657,8.45992439416486,4.208182872803253,8.474264801962683,4.148617118208244,8.533612865364429,4.123664264406278,6.29339163846432,5.652912018607537,6.307732046262144,5.593346264012528,6.36708010966389,5.568393410210563,yes
1163,11761964,2.4554998159390764,-0.29822,-0.16178,8.385954284971517,3.305258823944631,8.487343961369206,3.2840067205456966,8.526827702771607,3.247489021745088,6.362146682846755,4.579289224864581,6.463536359244444,4.558037121465647,6.503020100646846,4.521519422665038,no
