index,45M_index,dielectric,homo,lumo,oxidation,reduction,ip,ea,deo,der,oxidation_solv,reduction_solv,ip_solv,ea_solv,deo_solv,der_solv,redox_stable
712,40058320,2.7535331441254125,-0.28054,-0.15326,9.003123259016673,2.892800123642391,9.043804302016053,2.907412645445714,9.103642170616562,2.8722283052448323,6.935504758662723,4.157283404874945,6.976185801662101,4.1718959266782685,7.036023670262611,4.136711586477387,yes
713,40063341,2.6615766082837653,-0.24017,-0.15524,7.964800889301331,2.872319926031089,7.978352166498053,2.859067974230518,8.011141903498793,2.819557021431279,5.902857652954496,4.372555620262519,5.916408930151218,4.359303668461948,5.949198667151959,4.319792715662709,yes
714,40079217,2.3273895624354,-0.25185,-0.14483,7.847138904548958,2.807310612490423,7.851737631146628,2.8627402342958748,7.843220462946476,2.8320457750929378,6.020822935971808,4.37691559404023,6.025421662569479,4.4323452158456815,6.016904494369328,4.401650756642745,yes
715,40080591,2.833819541867486,-0.26347,-0.11012,8.163969126065648,1.7797640660077905,8.155506380646798,1.765940674830317,8.162554133256847,1.6918440326163104,6.352914943303526,3.1421773662570174,6.344452197884676,3.128353975079544,6.351499950494724,3.0542573328655376,yes
716,40177547,3.42940326622372,-0.18886,-0.13135,6.396653894566216,2.3586528316788447,6.416273313966179,2.33620342667984,6.40996026916665,2.2811819758795444,4.525828347854832,4.175028176510705,4.545447767254795,4.1525787715117,4.539134722455266,4.097557320711404,yes
717,40213450,2.923669960294404,-0.23624,-0.14179,7.691129417608762,2.5260244658957505,7.709469901211954,2.508146576094484,7.726477026209232,2.4600912436982565,5.816523282249617,4.155269761280029,5.834863765852808,4.137391871478763,5.851870890850086,4.089336539082535,yes
718,40279442,2.7273595380316173,-0.18956,-0.06774,6.174788030419976,1.0128981056213766,6.23429936222131,0.940488570221672,6.2168840662219695,0.8329491174209481,4.394542866843581,2.6090951557040203,4.454054198644915,2.536685620304316,4.436638902645575,2.429146167503592,yes
719,40566304,2.374845058997942,-0.28138,-0.17035,5.616429504152456,3.174795181637861,5.954748840355203,3.164454849636126,6.010777112952956,3.117107013638112,3.7185728057547616,4.457805344559889,4.056892141957508,4.447465012558153,4.112920414555262,4.400117176560139,no
720,40722963,2.501452480769915,-0.2616,-0.12225,8.325605685604202,2.2246920618780743,8.377905996402086,2.2107326136792893,8.440492216404937,2.148364084878982,6.546660247333965,3.737494443225665,6.598960558131849,3.72353499502688,6.6615467781347,3.6611664662265726,yes
721,40855584,2.602630270869763,-0.19859,-0.09243,5.794332657671908,1.5961548724132142,5.789216914466262,1.562494370614672,5.756944194067311,1.4660843804136914,3.918786096331384,3.215032080167394,3.913670353125738,3.181371578368852,3.8813976327267854,3.084961588167871,yes
722,41167410,2.7588050577214087,-0.27697,-0.17828,8.673950273005312,3.461061232127421,8.733407182006784,3.4558910661281,8.813952926004507,3.420489034727768,6.574878986154286,4.675573688877707,6.634335895155757,4.670403522878386,6.714881639153481,4.635001491478054,yes
723,41195143,2.695492025422905,-0.24813,-0.13674,8.094782780982083,2.37461588247314,8.168444040778628,2.3525746484731034,8.17832177898153,2.290750347674516,6.178425106145992,3.789673173487184,6.252086365942537,3.767631939487148,6.26196410414544,3.70580763868856,yes
724,41196537,2.8756925385353416,-0.24574,-0.1194,7.5575889278694595,1.876498416125156,7.644964733274688,1.8284702951133915,7.681808968874472,1.7613125599220822,5.745516494509719,3.465187296721927,5.832892299914947,3.4171591757101623,5.869736535514732,3.350001440518853,no
725,41197488,3.881913311069907,-0.25145,-0.10766,7.221606506702588,2.4079367860025185,7.255947293508693,2.396752900615287,7.269770684710915,2.332425151004459,5.201171485502575,3.7847628763567434,5.23551227230868,3.773578990969512,5.249335663510902,3.709251241358683,yes
